Выборы Президента Российской Федерации																																																				
Дата голосования: 18.03.2018																																																				
																																																				
Наименование Избирательной комиссии:    Спасская																																																				
																																																				
Сводная таблица итогов голосования																																																				
																																																				
	Число участковых избирательных комиссий	41																																																		
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	41																																																		
																																																				
		Сумма	УИК №2543	УИК №2544	УИК №2545	УИК №2546	УИК №2547	УИК №2548	УИК №2549	УИК №2550	УИК №2551	УИК №2552	УИК №2554	УИК №2555	УИК №2556	УИК №2557	УИК №2558	УИК №2559	УИК №2560	УИК №2561	УИК №2562	УИК №2563	УИК №2564	УИК №2565	УИК №2566	УИК №2567	УИК №2568	УИК №2569	УИК №2570	УИК №2571	УИК №2572	УИК №2573	УИК №2574	УИК №2575	УИК №2576	УИК №2577	УИК №2578	УИК №2579	УИК №2580	УИК №2581	УИК №2582	УИК №2583	УИК №2584									
1	"Число избирателей, включенных в список избирателей"	14251	603	648	648	692	625	595	700	673	739	660	377	110	347	226	187	194	124	469	566	77	94	299	112	506	194	467	149	188	177	174	166	221	257	348	313	249	65	214	72	171	555									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15350	650	681	672	750	710	605	773	709	788	685	391	113	360	228	189	253	146	500	568	80	94	310	119	528	195	473	156	239	212	209	191	237	284	422	354	288	94	248	91	189	566									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12443	477	419	543	607	458	413	606	591	663	463	320	105	335	216	183	114	115	460	562	76	92	274	102	480	182	439	146	170	168	173	164	203	236	345	309	230	58	212	69	160	505									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	718	12	72	50	49	31	29	25	28	41	41	53	3	9	8	0	49	8	0	3	0	0	22	7	18	10	19	0	14	3	0	0	15	19	0	1	18	6	0	0	10	45									
6	Число погашенных избирательных бюллетеней	2189	161	190	79	94	221	163	142	90	84	181	18	5	16	4	6	90	23	40	3	4	2	14	10	30	3	15	10	55	41	36	27	19	29	77	44	40	30	36	22	19	16									
7	Число избирательных бюллетеней в переносных ящиках для голосования	718	12	72	50	49	31	29	25	28	41	41	53	3	9	8	0	49	8	0	3	0	0	22	7	18	10	19	0	14	3	0	0	15	19	0	1	18	6	0	0	10	45									
8	Число бюллетеней в стационарных ящиках для голосования	12443	477	419	543	607	458	413	606	591	663	463	320	105	335	216	183	114	115	460	562	76	92	274	102	480	182	439	146	170	168	173	164	203	236	345	309	230	58	212	69	160	505									
9	Число недействительных избирательных бюллетеней	34	1	12	1	0	1	0	3	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	1	2									
10	Число действительных избирательных бюллетеней	13127	488	479	592	656	488	442	628	619	698	504	373	108	344	224	183	163	123	460	565	76	92	295	109	496	192	458	146	184	171	173	164	215	255	345	310	248	64	212	68	169	548									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																				
13	Бабурин Сергей Николаевич	32	2	2	3	0	3	3	2	1	1	1	1	0	0	0	0	1	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	1									
		0.24%	0.41%	0.41%	0.51%	0.00%	0.61%	0.68%	0.32%	0.16%	0.14%	0.20%	0.27%	0.00%	0.00%	0.00%	0.00%	0.61%	0.81%	0.43%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.46%	0.39%	0.29%	0.32%	0.40%	1.56%	0.47%	0.00%	0.00%	0.18%									
14	Грудинин Павел Николаевич	811	45	68	66	102	43	70	87	61	45	54	2	4	8	2	2	13	8	10	10	3	4	4	1	5	6	6	2	2	4	3	2	2	3	12	12	4	2	10	5	15	4									
		6.16%	9.20%	13.85%	11.13%	15.55%	8.79%	15.84%	13.79%	9.85%	6.39%	10.71%	0.54%	3.70%	2.33%	0.89%	1.09%	7.98%	6.50%	2.17%	1.77%	3.95%	4.35%	1.35%	0.92%	1.00%	3.13%	1.31%	1.37%	1.09%	2.34%	1.73%	1.22%	0.92%	1.18%	3.48%	3.87%	1.61%	3.13%	4.72%	7.25%	8.82%	0.73%									
15	Жириновский Владимир Вольфович	312	16	32	16	29	25	20	54	2	13	41	2	1	0	2	2	9	7	2	4	1	0	2	1	3	1	2	2	2	1	3	2	1	2	3	2	2	0	1	0	2	2									
		2.37%	3.27%	6.52%	2.70%	4.42%	5.11%	4.52%	8.56%	0.32%	1.85%	8.13%	0.54%	0.93%	0.00%	0.89%	1.09%	5.52%	5.69%	0.43%	0.71%	1.32%	0.00%	0.68%	0.92%	0.60%	0.52%	0.44%	1.37%	1.09%	0.58%	1.73%	1.22%	0.46%	0.78%	0.87%	0.65%	0.81%	0.00%	0.47%	0.00%	1.18%	0.36%									
16	Путин Владимир Владимирович	11861	420	360	494	512	410	336	477	552	636	403	366	103	334	220	178	137	106	446	548	72	88	287	107	488	185	450	142	180	166	166	160	210	249	328	295	239	61	197	63	151	539									
